Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/16/2021,12/17/2021,AMZN Mktp US*753NR8YN3,Shopping,Sale,-28.68,
12/16/2021,12/17/2021,USPS PO 2479390775,Shopping,Sale,-22.85,
12/16/2021,12/17/2021,INTERSHELL SEAFOOD,Groceries,Sale,-306.00,
12/15/2021,12/16/2021,BJS FUEL #9209,Gas,Sale,-62.39,
12/14/2021,12/16/2021,SHAWS OSCO 2584,Groceries,Sale,-113.82,
12/13/2021,12/14/2021,WNYC WQXR NJPR NYPR RADIO,Gifts & Donations,Sale,-5.00,
12/13/2021,12/14/2021,110 GRILL MAYNARD,Food & Drink,Sale,-47.07,
12/12/2021,12/13/2021,LINKEDIN-643*4778966,Bills & Utilities,Sale,-31.86,
12/11/2021,12/13/2021,MARKET BASKET 00000737,Groceries,Sale,-10.28,
12/12/2021,12/13/2021,PIZZARELLA,Food & Drink,Sale,-30.92,
12/13/2021,12/13/2021,Microsoft,Shopping,Sale,-1.99,
12/12/2021,12/13/2021,EVVIVA TRATTORIA MAYNARD,Food & Drink,Sale,-24.54,
12/12/2021,12/13/2021,MICHAELS STORES 1239,Shopping,Sale,-43.62,
12/12/2021,12/13/2021,LOWES #02375*,Home,Sale,-41.43,
12/10/2021,12/12/2021,RED GINGER,Food & Drink,Sale,-94.74,
12/09/2021,12/12/2021,SHAWS OSCO 2584,Groceries,Sale,-74.08,
12/11/2021,12/12/2021,BJS FUEL #9209,Gas,Sale,-54.61,
12/09/2021,12/12/2021,ACTON PHARMACY,Health & Wellness,Sale,-41.44,
12/09/2021,12/12/2021,IDYLWILDE FARMS INC,Groceries,Sale,-31.08,
12/09/2021,12/10/2021,Amazon.com*JA8S85BN3,Shopping,Sale,-58.63,
12/10/2021,12/10/2021,Payment Thank You - Bill,,Payment,3691.39,
12/07/2021,12/09/2021,SHAWS OSCO 2584,Groceries,Sale,-63.87,
12/06/2021,12/07/2021,AMZN Mktp US*LZ9EU0C93,Shopping,Sale,-153.86,
12/03/2021,12/05/2021,Wikimedia 877 600 9454,Gifts & Donations,Sale,-5.35,
12/02/2021,12/05/2021,SHAWS OSCO 2584,Groceries,Sale,-95.17,
12/04/2021,12/05/2021,LOWES #02375*,Home,Sale,-37.08,
12/03/2021,12/05/2021,USPS PO 2479390775,Shopping,Sale,-9.30,
12/02/2021,12/03/2021,PAYPAL *DEPALOCOFFE,Groceries,Sale,-79.90,
12/02/2021,12/03/2021,KENNEDYS MARKET,Groceries,Sale,-208.92,
12/02/2021,12/02/2021,eBay O*26-07944-31272,Shopping,Sale,-23.36,
12/01/2021,12/02/2021,110 GRILL MAYNARD,Food & Drink,Sale,-48.57,
11/30/2021,12/01/2021,AMZN Mktp US*747OH9KO3,Shopping,Sale,-10.06,
11/29/2021,12/01/2021,SHAWS OSCO 2584,Groceries,Sale,-33.04,
11/29/2021,11/30/2021,AUBUCHON HARDWARE,Home,Sale,-35.88,
11/29/2021,11/29/2021,AMZN Mktp US*P454E9GS3,Shopping,Sale,-30.58,
11/27/2021,11/29/2021,PANERA BREAD #202123 P,Food & Drink,Sale,-31.40,
11/27/2021,11/29/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
11/28/2021,11/29/2021,GULF OIL 92033926,Gas,Sale,-15.19,
11/27/2021,11/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
11/27/2021,11/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-20.00,
11/26/2021,11/28/2021,MICHAELS STORES 1239,Shopping,Sale,-61.37,
11/26/2021,11/28/2021,LOWES #00907*,Home,Sale,-159.33,
11/27/2021,11/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-25.00,
11/27/2021,11/28/2021,BENEVITY DONATIONS,Gifts & Donations,Sale,-100.00,
11/27/2021,11/28/2021,LOWES #02375*,Home,Sale,-24.42,
11/26/2021,11/28/2021,SP * KUHN RIKON SHOP,Home,Sale,-46.67,
11/23/2021,11/25/2021,SHAWS OSCO 2584,Groceries,Sale,-20.27,
11/24/2021,11/25/2021,MARKET BASKET 00000877,Groceries,Sale,-56.26,
11/23/2021,11/25/2021,HOMEDEPOT.COM,Home,Sale,-18.70,
11/23/2021,11/25/2021,IDYLWILDE FARMS INC,Groceries,Sale,-76.72,
11/23/2021,11/25/2021,SHAWS OSCO 2584,Groceries,Sale,-73.56,
11/23/2021,11/24/2021,AMZN Mktp US*Y96VX4AD3,Shopping,Sale,-18.08,
11/23/2021,11/24/2021,AMZN Mktp US*908MZ43A3,Shopping,Sale,-20.17,
11/23/2021,11/24/2021,HONEY POT HILL ORCHARD,Food & Drink,Sale,-21.25,
11/23/2021,11/24/2021,EBAY.COM/CC,Personal,Sale,-2.59,
11/23/2021,11/24/2021,LOWES #02375*,Home,Sale,-10.56,
11/23/2021,11/24/2021,eBay O*09-07906-68007,Shopping,Sale,-10.63,
11/19/2021,11/22/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
11/20/2021,11/22/2021,HONEY POT HILL ORCHARD,Food & Drink,Sale,-22.00,
11/20/2021,11/21/2021,AMZN Mktp US*BP6S05J03,Shopping,Sale,-40.32,
11/20/2021,11/21/2021,LOWES #02375*,Home,Sale,-17.70,
11/19/2021,11/21/2021,Samsung,Shopping,Sale,-1963.48,
11/18/2021,11/21/2021,EXXONMOBIL    97442933,Gas,Sale,-65.32,
11/19/2021,11/21/2021,INNOVATIONS HAIR SAL,Personal,Sale,-66.00,
11/20/2021,11/21/2021,Microsoft,Shopping,Sale,-1.99,
11/20/2021,11/21/2021,GIGI'S RESTAURANT,Food & Drink,Sale,-89.12,
11/20/2021,11/21/2021,MICHAELS STORES 1239,Shopping,Sale,-39.90,
11/18/2021,11/19/2021,WHOLEFDS HGM 10159,Groceries,Sale,-43.19,
11/19/2021,11/19/2021,LANDS END,Shopping,Sale,-247.96,
11/19/2021,11/19/2021,LANDS END,Shopping,Sale,-180.28,
11/18/2021,11/19/2021,MCDONALD'S F1795,Food & Drink,Sale,-9.91,
11/17/2021,11/19/2021,Sudbury Park and Recreati,Bills & Utilities,Sale,-8.00,
11/17/2021,11/18/2021,MARKET BASKET 00000877,Groceries,Sale,-73.84,
11/16/2021,11/17/2021,TINGLEY ELECTRIC SERVICE,Home,Sale,-89.00,
11/16/2021,11/17/2021,GIGI'S RESTAURANT,Food & Drink,Sale,-34.58,
11/13/2021,11/15/2021,THE HOME DEPOT 2607,Home,Sale,-41.74,
11/13/2021,11/15/2021,SHAWS OSCO 2584,Groceries,Sale,-37.20,
11/12/2021,11/14/2021,LINKEDIN-701*1361983,Bills & Utilities,Sale,-31.86,
